Target affinity,Target logps,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,5.0,4.961000000000004,0.36378858324014424,2.3316242488142507,69.63,-8.1,-9_5
-9.0,5.0,5.561000000000006,0.370750359532476,3.471122221386863,54.46000000000001,-7.6,-9_5
-9.0,5.0,4.696700000000003,0.46857039688863716,2.065963340594619,82.82000000000001,-9.0,-9_5
-9.0,5.0,5.3460000000000045,0.4461583304394856,2.204921390022795,3.88,-8.9,-9_5
-9.0,5.0,5.130500000000005,0.40758904339609026,3.3179795027185435,97.03,-8.9,-9_5
-9.0,5.0,4.151120000000003,0.6971239624727396,3.0943633673938127,78.92999999999999,-8.6,-9_5
-9.0,5.0,5.089800000000005,0.21303793059226717,4.378868319514161,121.03999999999999,-8.5,-9_5
-9.0,5.0,4.547600000000003,0.683349962199309,2.036441832380408,78.51,-8.3,-9_5
-9.0,5.0,5.943200000000006,0.5008388427066041,4.45644674360352,52.230000000000004,-9.4,-9_5
-9.0,5.0,4.192200000000003,0.2838261962607023,2.3755650762095843,69.06,-8.2,-9_5
-9.0,5.0,5.297300000000004,0.5607489227375583,3.288044353667514,97.02000000000001,-8.1,-9_5
-9.0,5.0,5.038820000000005,0.41143703487861977,2.98390573352477,79.61999999999999,-7.9,-9_5
-9.0,5.0,4.680200000000004,0.5534655838058846,4.032404448312498,83.72,-8.3,-9_5
-9.0,5.0,4.685400000000004,0.4635995940790795,2.771548527549596,67.15,-7.8,-9_5
-9.0,5.0,5.463200000000006,0.3467122205879706,4.028642399327015,107.97,-8.8,-9_5
-9.0,5.0,4.830900000000005,0.5010133865363354,3.253029722296981,65.46000000000001,-8.8,-9_5
-9.0,5.0,4.884300000000003,0.6817801070695615,3.7194789665176806,57.120000000000005,-8.4,-9_5
-9.0,5.0,5.099120000000003,0.5329360952443413,2.1997952369703526,78.67,-9.3,-9_5
-9.0,5.0,5.813620000000006,0.3293900602663734,3.08992405202544,72.91,-8.5,-9_5
-9.0,5.0,4.614200000000004,0.4977641770639753,2.3673004236089294,50.52,-9.0,-9_5
-9.0,5.0,4.2624,0.6942520108873936,2.158317414824637,63.83,-8.7,-9_5
-9.0,5.0,4.623800000000005,0.5006911042673501,2.5764662410584744,78.95,-8.3,-9_5
-9.0,5.0,5.057600000000003,0.5410779165019278,1.8869859423638236,56.269999999999996,-8.6,-9_5
-9.0,5.0,5.541800000000006,0.22677659772302944,3.9121825738399005,81.08,-9.0,-9_5
-9.0,5.0,5.1590200000000035,0.5261526131295667,2.0603987202328913,49.94,-9.1,-9_5
-9.0,5.0,4.815440000000003,0.5769126528553473,2.2006894173535745,73.22,-7.7,-9_5
-6.0,3.0,2.8272000000000013,0.8892107816876881,1.8232744998448798,41.57000000000001,-6.2,-6_3
-6.0,3.0,3.2338000000000022,0.7207725000596573,2.665490543509092,50.28,-6.3,-6_3
-6.0,3.0,2.885300000000001,0.7502341771009109,3.182247442316518,45.480000000000004,-5.8,-6_3
-6.0,3.0,3.3232000000000017,0.7316922557962792,2.9984430042418317,15.71,-5.8,-6_3
-6.0,3.0,2.5228,0.3847023728631348,3.0090397127552855,41.35,-6.0,-6_3
-6.0,3.0,3.392400000000001,0.8759165255213691,2.5862814704522687,63.33,-6.1,-6_3
-6.0,3.0,2.941600000000001,0.8444865175867396,3.6502597067515685,25.990000000000002,-6.0,-6_3
-6.0,3.0,2.8733000000000013,0.5995177285870649,1.8985119492375926,67.42999999999999,-6.1,-6_3
-6.0,3.0,3.2227000000000023,0.7625378994714276,1.914567400171162,6.48,-6.0,-6_3
-6.0,3.0,2.908520000000001,0.5053274007094445,2.132850041376532,49.56,-6.8,-6_3
-6.0,3.0,3.4171000000000014,0.7570478884379143,2.4586869649577636,25.78,-6.1,-6_3
-6.0,3.0,3.836800000000001,0.7998927699058344,2.8465894318459846,28.68,-5.8,-6_3
-6.0,3.0,2.8356000000000012,0.8869019380860357,2.6401726358322097,53.940000000000005,-6.1,-6_3
-6.0,3.0,3.8724900000000018,0.5759879795713084,3.1100188330896303,17.29,-6.5,-6_3
-6.0,3.0,3.048700000000002,0.8138279669166593,2.0530142096140676,52.32,-6.4,-6_3
-6.0,3.0,3.1458200000000014,0.6472786696892436,2.448956635832209,67.77000000000001,-6.7,-6_3
-6.0,3.0,2.9312000000000014,0.6014887326988834,2.0283924532163713,51.22,-5.7,-6_3
-6.0,3.0,2.937800000000001,0.5623678760655225,3.666371278709163,15.6,-6.0,-6_3
-6.0,3.0,2.924900000000002,0.7404692339473988,3.2332334860670215,8.17,-6.2,-6_3
-6.0,3.0,3.3527000000000005,0.6853065492157766,2.7922422141676524,64.07,-6.2,-6_3
-6.0,3.0,3.7585000000000024,0.7778352262199874,1.6817033248466586,26.3,-6.5,-6_3
